Date,Price,Open,High,Low,Vol.,Change %
4/29/2025,"1,793.89","1,799.26","1,841.95","1,788.47",529.57K,-0.30%
4/28/2025,"1,799.24","1,790.21","1,826.35","1,748.24",681.19K,0.44%
4/27/2025,"1,791.42","1,820.65","1,854.66","1,785.03",378.99K,-1.61%
4/26/2025,"1,820.65","1,784.58","1,835.72","1,779.80",399.27K,1.94%
4/25/2025,"1,785.96","1,769.60","1,825.49","1,739.39",664.67K,0.93%
4/24/2025,"1,769.53","1,795.05","1,802.47","1,725.56",552.53K,-1.42%
4/23/2025,"1,795.07","1,756.94","1,831.23","1,745.53",987.58K,2.22%
4/22/2025,"1,756.11","1,578.44","1,767.10","1,545.34",1.22M,11.18%
4/21/2025,"1,579.59","1,587.00","1,655.82","1,569.22",765.65K,-0.48%
4/20/2025,"1,587.28","1,613.18","1,618.94","1,566.80",313.17K,-1.57%
4/19/2025,"1,612.58","1,587.98","1,627.50","1,585.19",254.25K,1.49%
4/18/2025,"1,588.93","1,584.61","1,600.54","1,573.76",227.75K,0.39%
4/17/2025,"1,582.73","1,577.85","1,615.99","1,563.87",509.34K,0.35%
4/16/2025,"1,577.14","1,587.39","1,611.43","1,539.11",687.09K,-0.73%
4/15/2025,"1,588.80","1,625.32","1,660.34","1,584.81",543.64K,-2.15%
4/14/2025,"1,623.73","1,596.46","1,690.44","1,596.14",747.30K,1.62%
4/13/2025,"1,597.77","1,643.09","1,648.38","1,566.77",665.93K,-2.82%
4/12/2025,"1,644.12","1,566.90","1,666.39","1,546.84",570.51K,4.94%
4/11/2025,"1,566.77","1,519.63","1,587.87","1,507.56",653.52K,2.93%
4/10/2025,"1,522.13","1,669.39","1,669.39","1,475.06",1.03M,-8.84%
4/9/2025,"1,669.74","1,473.05","1,685.53","1,388.12",2.13M,13.33%
4/8/2025,"1,473.40","1,550.31","1,618.47","1,450.32",990.64K,-5.13%
4/7/2025,"1,553.01","1,585.21","1,633.22","1,422.80",2.35M,-1.75%
4/6/2025,"1,580.65","1,805.11","1,816.30","1,539.45",1.08M,-12.50%
4/5/2025,"1,806.47","1,816.96","1,827.20","1,767.51",224.66K,-0.54%
4/4/2025,"1,816.36","1,816.86","1,835.30","1,760.71",641.06K,-0.01%
4/3/2025,"1,816.53","1,795.92","1,844.01","1,752.70",566.79K,1.17%
4/2/2025,"1,795.59","1,905.00","1,953.57","1,783.01",821.61K,-5.74%
4/1/2025,"1,904.99","1,822.41","1,925.72","1,818.07",499.06K,4.56%
3/31/2025,"1,821.95","1,808.04","1,851.59","1,778.51",558.43K,0.83%
3/30/2025,"1,807.02","1,828.23","1,848.78","1,773.41",371.08K,-1.14%
3/29/2025,"1,827.84","1,896.93","1,912.79","1,801.47",455.60K,-3.63%
3/28/2025,"1,896.69","2,002.95","2,015.96","1,864.56",694.86K,-5.34%
